GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (510),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
positive regulation of catalytic activity (GO:0043085),1415,86,35.04,+,2.45,6.90E-14,1.79E-11
regulation of vasculature development (GO:1901342),281,17,6.96,+,2.44,1.00E-03,3.48E-02
regulation of cellular protein localization (GO:1903827),564,34,13.97,+,2.43,4.38E-06,3.13E-04
tissue morphogenesis (GO:0048729),532,32,13.17,+,2.43,8.93E-06,5.84E-04
regulation of binding (GO:0051098),366,22,9.06,+,2.43,2.80E-04,1.20E-02
cellular response to peptide (GO:1901653),334,20,8.27,+,2.42,5.83E-04,2.29E-02
anatomical structure formation involved in morphogenesis (GO:0048646),870,52,21.54,+,2.41,1.57E-08,1.67E-06
phosphorylation (GO:0016310),1022,61,25.31,+,2.41,7.29E-10,9.66E-08
cell division (GO:0051301),492,29,12.18,+,2.38,3.29E-05,1.86E-03
endocytosis (GO:0006897),562,33,13.92,+,2.37,9.74E-06,6.30E-04
organelle localization (GO:0051640),616,36,15.25,+,2.36,5.67E-06,3.98E-04
intracellular signal transduction (GO:0035556),1575,92,39,+,2.36,5.14E-14,1.35E-11
negative regulation of phosphorylation (GO:0042326),395,23,9.78,+,2.35,2.68E-04,1.16E-02
establishment of organelle localization (GO:0051656),397,23,9.83,+,2.34,2.83E-04,1.21E-02
positive regulation of molecular function (GO:0044093),1766,102,43.73,+,2.33,3.21E-15,1.15E-12
cellular response to growth factor stimulus (GO:0071363),503,29,12.46,+,2.33,7.17E-05,3.72E-03
cell-cell signaling by wnt (GO:0198738),349,20,8.64,+,2.31,8.21E-04,2.98E-02
Wnt signaling pathway (GO:0016055),349,20,8.64,+,2.31,8.21E-04,2.97E-02
regulation of vesicle-mediated transport (GO:0060627),524,30,12.98,+,2.31,5.35E-05,2.83E-03
movement of cell or subcellular component (GO:0006928),1591,91,39.4,+,2.31,2.50E-13,5.88E-11
negative regulation of hydrolase activity (GO:0051346),455,26,11.27,+,2.31,1.32E-04,6.30E-03
negative regulation of intracellular signal transduction (GO:1902532),492,28,12.18,+,2.3,1.10E-04,5.48E-03
regulation of cellular component organization (GO:0051128),2360,134,58.44,+,2.29,1.09E-19,7.14E-17
negative regulation of phosphate metabolic process (GO:0045936),513,29,12.7,+,2.28,8.35E-05,4.29E-03
regulation of cation transmembrane transport (GO:1904062),372,21,9.21,+,2.28,6.95E-04,2.65E-02
negative regulation of phosphorus metabolic process (GO:0010563),514,29,12.73,+,2.28,8.50E-05,4.35E-03
brain development (GO:0007420),745,42,18.45,+,2.28,2.18E-06,1.62E-04
regulation of localization (GO:0032879),2734,153,67.7,+,2.26,3.54E-22,3.99E-19
tube development (GO:0035295),841,47,20.83,+,2.26,5.06E-07,4.22E-05
positive regulation of MAPK cascade (GO:0043410),520,29,12.88,+,2.25,9.58E-05,4.81E-03
regulation of protein localization (GO:0032880),899,50,22.26,+,2.25,3.46E-07,3.00E-05
multicellular organismal homeostasis (GO:0048871),360,20,8.91,+,2.24,1.10E-03,3.77E-02
neuron differentiation (GO:0030182),1028,57,25.46,+,2.24,3.69E-08,3.70E-06
regulation of cell-cell adhesion (GO:0022407),434,24,10.75,+,2.23,5.06E-04,2.01E-02
epithelial cell differentiation (GO:0030855),674,37,16.69,+,2.22,1.51E-05,9.33E-04
regulation of catalytic activity (GO:0050790),2516,138,62.3,+,2.21,5.75E-19,3.49E-16
epithelium development (GO:0060429),1097,60,27.17,+,2.21,2.95E-08,3.01E-06
negative regulation of protein modification process (GO:0031400),549,30,13.6,+,2.21,9.17E-05,4.67E-03
regulation of intracellular signal transduction (GO:1902531),1768,96,43.78,+,2.19,1.07E-12,2.28E-10
anatomical structure morphogenesis (GO:0009653),2135,115,52.87,+,2.18,5.54E-15,1.82E-12
head development (GO:0060322),788,42,19.51,+,2.15,7.57E-06,5.14E-04
regulation of system process (GO:0044057),583,31,14.44,+,2.15,1.34E-04,6.40E-03
heart development (GO:0007507),508,27,12.58,+,2.15,4.69E-04,1.89E-02
generation of neurons (GO:0048699),1249,66,30.93,+,2.13,1.51E-08,1.63E-06
neurogenesis (GO:0022008),1369,72,33.9,+,2.12,3.89E-09,4.62E-07
positive regulation of protein kinase activity (GO:0045860),534,28,13.22,+,2.12,3.73E-04,1.55E-02
regulation of MAPK cascade (GO:0043408),694,36,17.19,+,2.09,6.22E-05,3.27E-03
cell migration (GO:0016477),965,50,23.9,+,2.09,1.73E-06,1.32E-04
locomotion (GO:0040011),1339,69,33.16,+,2.08,2.32E-08,2.39E-06
regulation of molecular function (GO:0065009),3178,162,78.7,+,2.06,1.39E-19,8.77E-17
localization of cell (GO:0051674),1103,56,27.31,+,2.05,9.13E-07,7.35E-05
cell motility (GO:0048870),1103,56,27.31,+,2.05,9.13E-07,7.31E-05
positive regulation of protein phosphorylation (GO:0001934),828,42,20.5,+,2.05,2.22E-05,1.31E-03
negative regulation of catalytic activity (GO:0043086),814,41,20.16,+,2.03,3.21E-05,1.83E-03
positive regulation of transport (GO:0051050),936,47,23.18,+,2.03,9.23E-06,6.02E-04
cellular component assembly (GO:0022607),2438,122,60.37,+,2.02,7.54E-14,1.92E-11
exocytosis (GO:0006887),785,39,19.44,+,2.01,6.61E-05,3.46E-03
vesicle-mediated transport (GO:0016192),1958,97,48.49,+,2,1.05E-10,1.68E-08
central nervous system development (GO:0007417),991,49,24.54,+,2,9.75E-06,6.28E-04
regulation of protein transport (GO:0051223),567,28,14.04,+,1.99,9.35E-04,3.29E-02
positive regulation of ion transport (GO:0043270),709,35,17.56,+,1.99,2.08E-04,9.26E-03
positive regulation of kinase activity (GO:0033674),608,30,15.06,+,1.99,5.49E-04,2.17E-02
nervous system development (GO:0007399),2189,108,54.21,+,1.99,9.48E-12,1.82E-09
regulation of establishment of protein localization (GO:0070201),592,29,14.66,+,1.98,7.63E-04,2.81E-02
cell activation (GO:0001775),1084,53,26.84,+,1.97,5.63E-06,3.97E-04
organelle organization (GO:0006996),3574,173,88.5,+,1.95,7.99E-19,4.50E-16
regulation of peptide transport (GO:0090087),600,29,14.86,+,1.95,8.73E-04,3.13E-02
positive regulation of transferase activity (GO:0051347),687,33,17.01,+,1.94,4.59E-04,1.86E-02
negative regulation of cell population proliferation (GO:0008285),689,33,17.06,+,1.93,4.73E-04,1.90E-02
positive regulation of cell death (GO:0010942),627,30,15.53,+,1.93,1.04E-03,3.59E-02
regulated exocytosis (GO:0045055),693,33,17.16,+,1.92,5.04E-04,2.01E-02
positive regulation of phosphorus metabolic process (GO:0010562),989,47,24.49,+,1.92,4.03E-05,2.22E-03
positive regulation of phosphate metabolic process (GO:0045937),989,47,24.49,+,1.92,4.03E-05,2.22E-03
regulation of developmental process (GO:0050793),2441,116,60.45,+,1.92,1.29E-11,2.36E-09
positive regulation of phosphorylation (GO:0042327),913,43,22.61,+,1.9,8.88E-05,4.53E-03
negative regulation of protein metabolic process (GO:0051248),1056,49,26.15,+,1.87,4.56E-05,2.45E-03
positive regulation of protein modification process (GO:0031401),1061,49,26.27,+,1.86,4.83E-05,2.57E-03
phosphate-containing compound metabolic process (GO:0006796),1906,88,47.2,+,1.86,2.37E-08,2.43E-06
positive regulation of developmental process (GO:0051094),1259,58,31.18,+,1.86,1.03E-05,6.61E-04
negative regulation of cellular protein metabolic process (GO:0032269),984,45,24.37,+,1.85,1.47E-04,6.92E-03
phosphorus metabolic process (GO:0006793),1933,88,47.87,+,1.84,4.51E-08,4.45E-06
regulation of protein phosphorylation (GO:0001932),1210,55,29.96,+,1.84,2.61E-05,1.52E-03
secretion by cell (GO:0032940),948,43,23.48,+,1.83,2.65E-04,1.15E-02
positive regulation of intracellular signal transduction (GO:1902533),1015,46,25.13,+,1.83,1.26E-04,6.11E-03
regulation of signal transduction (GO:0009966),3047,138,75.45,+,1.83,1.82E-12,3.78E-10
negative regulation of molecular function (GO:0044092),1171,53,29,+,1.83,4.56E-05,2.44E-03
cellular component biogenesis (GO:0044085),2701,122,66.89,+,1.82,6.55E-11,1.09E-08
regulation of phosphorylation (GO:0042325),1400,63,34.67,+,1.82,8.11E-06,5.37E-04
regulation of signaling (GO:0023051),3459,155,85.66,+,1.81,7.77E-14,1.95E-11
positive regulation of cell differentiation (GO:0045597),827,37,20.48,+,1.81,8.97E-04,3.18E-02
regulation of phosphate metabolic process (GO:0019220),1611,72,39.89,+,1.8,1.90E-06,1.44E-04
regulation of phosphorus metabolic process (GO:0051174),1611,72,39.89,+,1.8,1.90E-06,1.43E-04
regulation of cell communication (GO:0010646),3424,153,84.79,+,1.8,1.55E-13,3.77E-11
negative regulation of signal transduction (GO:0009968),1276,57,31.6,+,1.8,2.79E-05,1.61E-03
cellular component organization (GO:0016043),5775,257,143.01,+,1.8,1.02E-25,3.23E-22
tissue development (GO:0009888),1732,77,42.89,+,1.8,1.18E-06,9.21E-05
negative regulation of cell communication (GO:0010648),1373,61,34,+,1.79,1.59E-05,9.77E-04
regulation of transport (GO:0051049),1758,78,43.53,+,1.79,9.33E-07,7.43E-05
negative regulation of signaling (GO:0023057),1376,61,34.07,+,1.79,1.64E-05,1.00E-03
cell differentiation (GO:0030154),3509,155,86.89,+,1.78,2.62E-13,6.09E-11
cellular developmental process (GO:0048869),3562,157,88.21,+,1.78,2.23E-13,5.32E-11
export from cell (GO:0140352),996,43,24.66,+,1.74,5.74E-04,2.26E-02
regulation of protein modification process (GO:0031399),1633,70,40.44,+,1.73,1.10E-05,6.97E-04
cellular component organization or biogenesis (GO:0071840),5999,257,148.55,+,1.73,4.29E-23,6.15E-20
regulation of ion transport (GO:0043269),1337,57,33.11,+,1.72,9.30E-05,4.72E-03
system development (GO:0048731),4279,181,105.96,+,1.71,4.09E-14,1.09E-11
anatomical structure development (GO:0048856),5266,218,130.4,+,1.67,1.15E-16,5.17E-14
signal transduction (GO:0007165),5138,211,127.23,+,1.66,1.41E-15,5.70E-13
cellular response to endogenous stimulus (GO:0071495),1146,47,28.38,+,1.66,9.18E-04,3.24E-02
positive regulation of signal transduction (GO:0009967),1551,63,38.41,+,1.64,1.84E-04,8.40E-03
regulation of apoptotic process (GO:0042981),1479,60,36.62,+,1.64,2.63E-04,1.15E-02
multicellular organism development (GO:0007275),4877,197,120.77,+,1.63,1.20E-13,2.95E-11
protein localization (GO:0008104),2158,87,53.44,+,1.63,8.10E-06,5.39E-04
regulation of programmed cell death (GO:0043067),1517,61,37.57,+,1.62,3.10E-04,1.31E-02
signaling (GO:0023052),5485,218,135.83,+,1.6,1.27E-14,3.77E-12
regulation of cell population proliferation (GO:0042127),1640,65,40.61,+,1.6,2.68E-04,1.16E-02
regulation of response to stimulus (GO:0048583),4240,168,105,+,1.6,1.56E-10,2.44E-08
response to endogenous stimulus (GO:0009719),1416,56,35.06,+,1.6,7.64E-04,2.81E-02
animal organ development (GO:0048513),3187,126,78.92,+,1.6,9.53E-08,8.89E-06
positive regulation of signaling (GO:0023056),1720,68,42.59,+,1.6,1.93E-04,8.68E-03
cell communication (GO:0007154),5572,220,137.98,+,1.59,1.72E-14,4.93E-12
regulation of multicellular organismal development (GO:2000026),1318,52,32.64,+,1.59,1.34E-03,4.48E-02
negative regulation of response to stimulus (GO:0048585),1804,71,44.67,+,1.59,1.43E-04,6.75E-03
regulation of multicellular organismal process (GO:0051239),2647,104,65.55,+,1.59,2.71E-06,2.01E-04
developmental process (GO:0032502),5729,225,141.87,+,1.59,9.13E-15,2.88E-12
positive regulation of cellular protein metabolic process (GO:0032270),1456,57,36.06,+,1.58,8.90E-04,3.17E-02
positive regulation of cell communication (GO:0010647),1714,67,42.44,+,1.58,2.67E-04,1.16E-02
cell surface receptor signaling pathway (GO:0007166),2486,97,61.56,+,1.58,7.94E-06,5.30E-04
cell cycle (GO:0007049),1390,54,34.42,+,1.57,1.33E-03,4.44E-02
regulation of cell differentiation (GO:0045595),1576,61,39.03,+,1.56,7.46E-04,2.76E-02
regulation of biological quality (GO:0065008),4007,155,99.23,+,1.56,7.00E-09,8.17E-07
cellular localization (GO:0051641),3003,116,74.36,+,1.56,1.35E-06,1.04E-04
negative regulation of cellular process (GO:0048523),4909,189,121.56,+,1.55,5.74E-11,9.73E-09
cellular protein localization (GO:0034613),1639,63,40.59,+,1.55,6.91E-04,2.64E-02
positive regulation of protein metabolic process (GO:0051247),1538,59,38.09,+,1.55,1.19E-03,4.04E-02
cellular macromolecule localization (GO:0070727),1645,63,40.74,+,1.55,7.17E-04,2.70E-02
positive regulation of cellular process (GO:0048522),5656,215,140.06,+,1.54,2.28E-12,4.67E-10
regulation of cell death (GO:0010941),1652,62,40.91,+,1.52,1.32E-03,4.42E-02
regulation of cellular protein metabolic process (GO:0032268),2437,90,60.35,+,1.49,1.39E-04,6.60E-03
cellular response to stimulus (GO:0051716),6770,248,167.65,+,1.48,4.27E-13,9.48E-11
regulation of protein metabolic process (GO:0051246),2595,95,64.26,+,1.48,1.21E-04,5.89E-03
macromolecule localization (GO:0033036),2550,93,63.15,+,1.47,1.83E-04,8.38E-03
negative regulation of biological process (GO:0048519),5541,200,137.21,+,1.46,2.99E-09,3.63E-07
positive regulation of biological process (GO:0048518),6244,225,154.62,+,1.46,1.02E-10,1.67E-08
positive regulation of response to stimulus (GO:0048584),2278,82,56.41,+,1.45,7.86E-04,2.88E-02
establishment of localization in cell (GO:0051649),2365,85,58.57,+,1.45,5.79E-04,2.28E-02
multicellular organismal process (GO:0032501),6909,247,171.09,+,1.44,8.90E-12,1.73E-09
localization (GO:0051179),5807,207,143.8,+,1.44,3.71E-09,4.43E-07
cellular response to organic substance (GO:0071310),2331,83,57.72,+,1.44,8.97E-04,3.17E-02
cellular response to chemical stimulus (GO:0070887),2898,103,71.76,+,1.44,1.87E-04,8.49E-03
response to stimulus (GO:0050896),8496,292,210.39,+,1.39,8.69E-13,1.88E-10
positive regulation of macromolecule metabolic process (GO:0010604),3431,115,84.96,+,1.35,7.59E-04,2.80E-02
regulation of cellular process (GO:0050794),11302,377,279.87,+,1.35,2.05E-18,1.11E-15
regulation of biological process (GO:0050789),11856,388,293.59,+,1.32,8.44E-18,4.16E-15
biological regulation (GO:0065007),12571,406,311.3,+,1.3,7.86E-19,4.59E-16
establishment of localization (GO:0051234),4653,149,115.22,+,1.29,6.07E-04,2.37E-02
cellular process (GO:0009987),15487,446,383.51,+,1.16,1.24E-11,2.30E-09
biological_process (GO:0008150),17850,486,442.02,+,1.1,2.62E-10,3.86E-08
organic substance biosynthetic process (GO:1901576),2804,45,69.44,-,0.65,1.27E-03,4.26E-02
cellular biosynthetic process (GO:0044249),2709,43,67.08,-,0.64,1.35E-03,4.48E-02
organic cyclic compound metabolic process (GO:1901360),3190,46,78.99,-,0.58,2.82E-05,1.62E-03
heterocycle metabolic process (GO:0046483),2904,41,71.91,-,0.57,4.23E-05,2.29E-03
cellular aromatic compound metabolic process (GO:0006725),2948,41,73,-,0.56,2.66E-05,1.54E-03
nucleobase-containing compound metabolic process (GO:0006139),2719,35,67.33,-,0.52,7.45E-06,5.08E-04
cellular macromolecule biosynthetic process (GO:0034645),1655,21,40.98,-,0.51,6.36E-04,2.47E-02
macromolecule biosynthetic process (GO:0009059),1696,21,42,-,0.5,3.90E-04,1.60E-02
cellular nitrogen compound metabolic process (GO:0034641),3407,42,84.37,-,0.5,7.84E-08,7.45E-06
transmembrane transport (GO:0055085),1292,15,31.99,-,0.47,1.06E-03,3.64E-02
ion transmembrane transport (GO:0034220),1051,11,26.03,-,0.42,1.36E-03,4.52E-02
organonitrogen compound biosynthetic process (GO:1901566),1380,14,34.17,-,0.41,1.31E-04,6.29E-03
nucleic acid metabolic process (GO:0090304),2232,22,55.27,-,0.4,2.07E-07,1.85E-05
gene expression (GO:0010467),2186,21,54.13,-,0.39,2.20E-07,1.96E-05
RNA metabolic process (GO:0016070),1599,15,39.6,-,0.38,9.45E-06,6.13E-04
Unclassified (UNCLASSIFIED),2745,24,67.98,-,0.35,2.62E-10,3.89E-08
sensory perception (GO:0007600),973,8,24.09,-,0.33,2.53E-04,1.11E-02
detection of stimulus (GO:0051606),718,4,17.78,-,0.22,1.77E-04,8.17E-03
cellular amide metabolic process (GO:0043603),808,4,20.01,-,0.2,3.30E-05,1.85E-03
amide biosynthetic process (GO:0043604),528,2,13.08,-,0.15,4.51E-04,1.84E-02
peptide metabolic process (GO:0006518),537,2,13.3,-,0.15,3.07E-04,1.29E-02
RNA processing (GO:0006396),923,3,22.86,-,0.13,4.73E-07,3.99E-05
RNA splicing (GO:0008380),407,1,10.08,-,0.1,8.95E-04,3.18E-02
ribonucleoprotein complex biogenesis (GO:0022613),465,1,11.51,-,0.09,3.15E-04,1.32E-02
detection of chemical stimulus (GO:0009593),522,1,12.93,-,0.08,6.64E-05,3.47E-03
detection of stimulus involved in sensory perception (GO:0050906),554,1,13.72,-,0.07,3.12E-05,1.78E-03
sulfur compound metabolic process (GO:0006790),369,0,9.14,-, < 0.01,2.14E-04,9.51E-03
nucleic acid phosphodiester bond hydrolysis (GO:0090305),303,0,7.5,-, < 0.01,1.02E-03,3.53E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911),441,0,10.92,-, < 0.01,2.92E-05,1.68E-03
detection of chemical stimulus involved in sensory perception (GO:0050907),486,0,12.03,-, < 0.01,1.43E-05,8.91E-04
ncRNA metabolic process (GO:0034660),517,0,12.8,-, < 0.01,6.45E-06,4.45E-04
ribosome biogenesis (GO:0042254),332,0,8.22,-, < 0.01,4.62E-04,1.87E-02
ncRNA processing (GO:0034470),432,0,10.7,-, < 0.01,4.42E-05,2.38E-03
sensory perception of smell (GO:0007608),468,0,11.59,-, < 0.01,2.08E-05,1.24E-03
sensory perception of chemical stimulus (GO:0007606),542,0,13.42,-, < 0.01,2.76E-06,2.03E-04
