GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (713),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
cellular response to endogenous stimulus (GO:0071495),1152,66,39.88,+,1.65,1.06E-04,6.49E-03
phosphorylation (GO:0016310),877,50,30.36,+,1.65,9.90E-04,4.16E-02
cellular component biogenesis (GO:0044085),2754,157,95.34,+,1.65,5.65E-10,2.08E-07
positive regulation of cellular protein metabolic process (GO:0032270),1474,84,51.03,+,1.65,1.38E-05,1.09E-03
cellular component organization or biogenesis (GO:0071840),6006,342,207.93,+,1.64,4.36E-25,3.44E-21
cellular component organization (GO:0016043),5783,329,200.21,+,1.64,1.14E-23,6.01E-20
positive regulation of molecular function (GO:0044093),1618,92,56.02,+,1.64,6.16E-06,5.73E-04
regulation of protein modification process (GO:0031399),1654,94,57.26,+,1.64,4.05E-06,4.07E-04
positive regulation of signal transduction (GO:0009967),1584,90,54.84,+,1.64,7.13E-06,6.33E-04
neuron differentiation (GO:0030182),1043,59,36.11,+,1.63,3.85E-04,1.94E-02
negative regulation of signaling (GO:0023057),1405,79,48.64,+,1.62,4.71E-05,3.22E-03
negative regulation of gene expression (GO:0010629),999,56,34.59,+,1.62,7.77E-04,3.45E-02
protein modification by small protein conjugation or removal (GO:0070647),1035,58,35.83,+,1.62,5.15E-04,2.45E-02
regulation of cellular protein metabolic process (GO:0032268),2501,140,86.58,+,1.62,2.28E-08,5.38E-06
negative regulation of signal transduction (GO:0009968),1305,73,45.18,+,1.62,9.77E-05,6.08E-03
RNA processing (GO:0006396),930,52,32.2,+,1.62,1.03E-03,4.27E-02
regulation of cell death (GO:0010941),1668,93,57.75,+,1.61,1.14E-05,9.36E-04
negative regulation of cell communication (GO:0010648),1401,78,48.5,+,1.61,6.42E-05,4.21E-03
positive regulation of signaling (GO:0023056),1761,98,60.97,+,1.61,5.53E-06,5.33E-04
regulation of protein metabolic process (GO:0051246),2665,148,92.26,+,1.6,1.44E-08,3.87E-06
regulation of phosphorylation (GO:0042325),1391,77,48.16,+,1.6,8.40E-05,5.33E-03
organic substance transport (GO:0071702),2079,114,71.98,+,1.58,1.67E-06,1.99E-04
regulation of transport (GO:0051049),1772,97,61.35,+,1.58,1.45E-05,1.13E-03
positive regulation of cell communication (GO:0010647),1755,96,60.76,+,1.58,1.81E-05,1.37E-03
positive regulation of protein modification process (GO:0031401),1079,59,37.36,+,1.58,8.89E-04,3.80E-02
regulation of response to stimulus (GO:0048583),4306,234,149.07,+,1.57,3.75E-13,2.47E-10
cell death (GO:0008219),1086,59,37.6,+,1.57,9.43E-04,3.99E-02
regulation of developmental process (GO:0050793),2461,133,85.2,+,1.56,4.63E-07,6.65E-05
epithelium development (GO:0060429),1113,60,38.53,+,1.56,1.07E-03,4.37E-02
positive regulation of cellular process (GO:0048522),5741,309,198.75,+,1.55,4.88E-18,9.64E-15
negative regulation of cellular metabolic process (GO:0031324),2613,139,90.46,+,1.54,5.00E-07,7.05E-05
negative regulation of cellular process (GO:0048523),4902,259,169.71,+,1.53,2.06E-13,1.42E-10
negative regulation of metabolic process (GO:0009892),3095,163,107.15,+,1.52,5.78E-08,1.20E-05
response to endogenous stimulus (GO:0009719),1426,75,49.37,+,1.52,4.51E-04,2.22E-02
negative regulation of macromolecule metabolic process (GO:0010605),2880,151,99.71,+,1.51,3.40E-07,5.22E-05
response to oxygen-containing compound (GO:1901700),1604,84,55.53,+,1.51,2.32E-04,1.27E-02
nervous system development (GO:0007399),2218,116,76.79,+,1.51,1.34E-05,1.07E-03
negative regulation of nitrogen compound metabolic process (GO:0051172),2453,128,84.92,+,1.51,4.71E-06,4.62E-04
positive regulation of macromolecule metabolic process (GO:0010604),3522,183,121.93,+,1.5,1.55E-08,3.96E-06
regulation of response to stress (GO:0080134),1562,81,54.08,+,1.5,4.41E-04,2.18E-02
positive regulation of biological process (GO:0048518),6331,328,219.18,+,1.5,5.70E-17,8.19E-14
positive regulation of metabolic process (GO:0009893),3820,196,132.25,+,1.48,1.02E-08,2.87E-06
positive regulation of cellular metabolic process (GO:0031325),3314,170,114.73,+,1.48,1.71E-07,3.07E-05
RNA metabolic process (GO:0016070),1582,81,54.77,+,1.48,6.23E-04,2.86E-02
negative regulation of biological process (GO:0048519),5501,280,190.44,+,1.47,8.34E-13,5.07E-10
vesicle-mediated transport (GO:0016192),1969,100,68.17,+,1.47,1.79E-04,1.01E-02
cellular developmental process (GO:0048869),3634,184,125.81,+,1.46,9.38E-08,1.81E-05
cellular response to stress (GO:0033554),1741,88,60.27,+,1.46,5.04E-04,2.40E-02
cell differentiation (GO:0030154),3575,180,123.77,+,1.45,2.29E-07,3.90E-05
cellular protein modification process (GO:0006464),2985,150,103.34,+,1.45,3.49E-06,3.65E-04
protein modification process (GO:0036211),2985,150,103.34,+,1.45,3.49E-06,3.63E-04
localization (GO:0051179),5831,293,201.87,+,1.45,8.08E-13,5.11E-10
positive regulation of nitrogen compound metabolic process (GO:0051173),3123,155,108.12,+,1.43,5.14E-06,4.99E-04
negative regulation of response to stimulus (GO:0048585),1831,90,63.39,+,1.42,1.08E-03,4.41E-02
gene expression (GO:0010467),2117,104,73.29,+,1.42,4.59E-04,2.25E-02
regulation of cellular metabolic process (GO:0031323),6138,301,212.5,+,1.42,5.83E-12,2.49E-09
regulation of macromolecule metabolic process (GO:0060255),6340,310,219.49,+,1.41,2.79E-12,1.38E-09
establishment of localization (GO:0051234),4631,224,160.33,+,1.4,7.41E-08,1.48E-05
regulation of metabolic process (GO:0019222),6874,332,237.98,+,1.4,1.01E-12,5.92E-10
macromolecule modification (GO:0043412),3211,155,111.16,+,1.39,2.19E-05,1.63E-03
regulation of multicellular organismal process (GO:0051239),2673,129,92.54,+,1.39,1.51E-04,8.82E-03
transport (GO:0006810),4476,216,154.96,+,1.39,1.84E-07,3.19E-05
cellular response to organic substance (GO:0071310),2344,113,81.15,+,1.39,4.20E-04,2.11E-02
cellular protein metabolic process (GO:0044267),3590,173,124.29,+,1.39,6.44E-06,5.85E-04
positive regulation of response to stimulus (GO:0048584),2312,111,80.04,+,1.39,6.02E-04,2.79E-02
regulation of nitrogen compound metabolic process (GO:0051171),5740,271,198.72,+,1.36,9.60E-09,2.76E-06
cellular macromolecule metabolic process (GO:0044260),4909,231,169.95,+,1.36,3.55E-07,5.39E-05
system development (GO:0048731),4330,202,149.9,+,1.35,5.94E-06,5.59E-04
anatomical structure development (GO:0048856),5330,248,184.52,+,1.34,2.33E-07,3.91E-05
regulation of primary metabolic process (GO:0080090),5925,274,205.12,+,1.34,5.65E-08,1.19E-05
developmental process (GO:0032502),5797,266,200.69,+,1.33,2.37E-07,3.94E-05
multicellular organism development (GO:0007275),4941,225,171.06,+,1.32,6.77E-06,6.08E-04
regulation of gene expression (GO:0010468),4922,224,170.4,+,1.31,8.09E-06,6.99E-04
regulation of cellular process (GO:0050794),11351,514,392.97,+,1.31,6.68E-20,1.76E-16
regulation of macromolecule biosynthetic process (GO:0010556),3999,180,138.45,+,1.3,1.78E-04,1.01E-02
regulation of cellular macromolecule biosynthetic process (GO:2000112),3968,178,137.37,+,1.3,2.48E-04,1.33E-02
protein metabolic process (GO:0019538),4203,188,145.51,+,1.29,1.62E-04,9.33E-03
regulation of biological process (GO:0050789),11898,530,411.91,+,1.29,1.52E-19,3.43E-16
regulation of nucleobase-containing compound metabolic process (GO:0019219),4049,179,140.18,+,1.28,4.80E-04,2.31E-02
cell communication (GO:0007154),5656,250,195.81,+,1.28,1.36E-05,1.07E-03
signal transduction (GO:0007165),5227,231,180.96,+,1.28,3.95E-05,2.74E-03
macromolecule metabolic process (GO:0043170),6151,271,212.95,+,1.27,5.73E-06,5.43E-04
signaling (GO:0023052),5565,242,192.66,+,1.26,6.73E-05,4.37E-03
cellular response to stimulus (GO:0051716),6807,296,235.66,+,1.26,3.89E-06,3.96E-04
regulation of biosynthetic process (GO:0009889),4226,183,146.3,+,1.25,1.16E-03,4.67E-02
biological regulation (GO:0065007),12568,544,435.1,+,1.25,2.15E-17,3.40E-14
nitrogen compound metabolic process (GO:0006807),6886,283,238.39,+,1.19,6.04E-04,2.79E-02
response to stimulus (GO:0050896),8540,348,295.66,+,1.18,1.10E-04,6.69E-03
cellular metabolic process (GO:0044237),7542,307,261.1,+,1.18,5.82E-04,2.73E-02
primary metabolic process (GO:0044238),7352,298,254.53,+,1.17,9.73E-04,4.10E-02
cellular process (GO:0009987),15495,619,536.44,+,1.15,5.97E-14,4.72E-11
biological_process (GO:0008150),17851,676,618,+,1.09,3.06E-12,1.42E-09
small molecule metabolic process (GO:0044281),1622,30,56.15,-,0.53,1.48E-04,8.69E-03
nervous system process (GO:0050877),1416,26,49.02,-,0.53,3.47E-04,1.78E-02
Unclassified (UNCLASSIFIED),2744,37,95,-,0.39,3.06E-12,1.46E-09
carbohydrate derivative metabolic process (GO:1901135),1008,13,34.9,-,0.37,3.48E-05,2.49E-03
sensory perception (GO:0007600),979,11,33.89,-,0.32,7.57E-06,6.61E-04
detection of stimulus (GO:0051606),721,7,24.96,-,0.28,5.34E-05,3.59E-03
adaptive immune response (GO:0002250),658,6,22.78,-,0.26,6.42E-05,4.20E-03
carbohydrate derivative biosynthetic process (GO:1901137),604,5,20.91,-,0.24,7.91E-05,5.04E-03
detection of stimulus involved in sensory perception (GO:0050906),557,2,19.28,-,0.1,1.92E-06,2.17E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911),441,1,15.27,-,0.07,6.66E-06,6.01E-04
sensory perception of smell (GO:0007608),468,1,16.2,-,0.06,3.14E-06,3.37E-04
detection of chemical stimulus involved in sensory perception (GO:0050907),486,1,16.83,-,0.06,2.29E-06,2.53E-04
detection of chemical stimulus (GO:0009593),522,1,18.07,-,0.06,4.61E-07,6.75E-05
sensory perception of chemical stimulus (GO:0007606),543,1,18.8,-,0.05,3.33E-07,5.17E-05
