,Clusters,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
120,15,WP2324,AGE/RAGE pathway,9/150,66/7850,3.91E-06,0.001094016,0.000512049,249/6464/5321/5590/653361/1956/4478/2308/4303,9
121,16,WP411,mRNA processing,43/347,133/7850,2.09E-26,7.69E-24,7.23E-24,10772/8899/55660/23405/9129/10291/51692/10946/10992/23450/6429/10250/4904/11218/9785/9584/10147/1195/6431/6434/1659/6433/6633/4670/3183/3178/6732/27316/3182/57794/6625/2521/11129/1196/22803/8243/6430/6427/1660/6421/23451/10914/8683,43
122,16,WP107,Translation factors,12/347,54/7850,2.94E-06,0.001080524,0.000508263,8894/1933/1936/1938/7458/23277/9669/26986/8665/1978/8663/8662,12
123,16,WP3651,Pathways affected in adenoid cystic carcinoma,12/347,66/7850,2.62E-05,0.0096033,0.003011504,23269/672/29072/546/84159/64324/2064/58508/7157/8243/29128/10847,12
124,16,WP2363,Gastric cancer network 2,8/347,33/7850,7.07E-05,0.025932028,0.006099028,3930/10153/55593/7157/92140/25909/29028/157769,8
125,17,WP437,EGF/EGFR signaling pathway,25/257,164/7850,9.07E-11,3.31E-08,2.69E-08,1385/253260/6197/5580/8440/2059/5782/6195/9101/3636/8826/9922/10006/1759/8867/10928/2060/5335/4215/6714/9846/6774/30011/2475/6464,25
126,17,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,21/257,144/7850,7.08E-09,2.58E-06,1.05E-06,1385/7074/6197/7249/324/5580/1739/8440/5562/4082/6195/53358/5335/8894/3667/2309/6714/6774/1499/2475/6464,21
127,17,WP3888,VEGFA-VEGFR2 signaling pathway,37/257,439/7850,8.16E-08,2.98E-05,8.07E-06,1385/4301/253260/2889/1495/84952/5587/5580/405/6461/4691/9344/1500/5581/5562/7430/23189/7114/8826/301/8867/2060/9513/9759/5335/26058/2309/2926/100506658/6714/6774/1499/4772/2475/1796/5784/6464,37
128,17,WP4659,Gastrin signaling pathway,16/257,114/7850,7.95E-07,0.000290177,5.90E-05,1385/5587/5580/6548/5581/999/5335/3667/2309/6714/6774/1499/2475/7082/64283/6464,16
129,17,WP4905,1q21.1 copy number variation syndrome,8/257,28/7850,2.08E-06,0.000760342,0.000123672,4301/26108/5562/50848/9414/100506658/1499/7082,8
130,17,WP4537,Hippo-Yap signaling pathway,7/257,23/7850,5.81E-06,0.002120908,0.000287477,50488/6788/23043/4771/26524/23012/9448,7
131,17,WP481,Insulin signaling,17/257,161/7850,1.89E-05,0.006884878,0.000799891,50488/2889/6197/7249/6885/5580/9882/5562/6195/53358/3636/9448/3667/2309/4215/2475/6464,17
132,17,WP2038,Microtubule cytoskeleton regulation,9/257,49/7850,2.45E-05,0.008940098,0.000814138,7074/324/2011/4139/7204/6249/6714/4131/6774,9
133,17,WP3915,Angiopoietin-like protein 8 regulatory pathway,15/257,132/7850,2.47E-05,0.009009653,0.000814138,253260/50488/2889/6197/7249/6885/5562/6195/53358/9448/3667/2309/4215/2475/6464,15
134,17,WP2374,Oncostatin M signaling pathway,10/257,66/7850,4.97E-05,0.018151333,0.001476186,1385/253260/5580/5581/3572/3667/6714/6774/2475/6464,10
135,17,WP3676,BDNF-TrkB signaling,7/257,34/7850,9.36E-05,0.034178643,0.002526939,1385/7249/6195/5335/9846/2475/6464,7
136,17,WP3878,ATM signaling in development and disease ,8/257,46/7850,0.000104889,0.038284514,0.002594625,9656/10155/7249/4361/5562/4683/9759/2475,8
137,17,WP304,Kit receptor signaling pathway,9/257,60/7850,0.000128681,0.04696841,0.002938293,6197/6195/5335/2309/6714/9846/6774/1796/6464,9
138,18,WP4905,1q21.1 copy number variation syndrome,8/265,28/7850,2.62E-06,0.000917668,0.000847291,4301/9414/27134/7082/9557/51422/100506658/1499,8
139,18,WP3888,VEGFA-VEGFR2 signaling pathway,31/265,439/7850,6.88E-05,0.024072108,0.007863984,4301/1500/9513/5747/253260/1386/5717/4691/26058/10963/1981/6924/2035/6194/154796/8650/2113/10397/3315/10755/9645/5321/1267/102/6386/5331/9898/5058/100506658/23215/1499,31
140,18,WP4565,Neural crest cell migration in cancer,8/265,44/7850,9.35E-05,0.032731331,0.007863984,7074/30849/57498/1009/10298/7204/25791/5058,8
141,18,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,15/265,144/7850,9.73E-05,0.034068727,0.007863984,7074/4082/57498/6194/23426/8844/8878/324/6197/8660/6696/7249/10746/6868/1499,15
142,20,WP306,Focal adhesion,16/136,202/7850,3.52E-07,6.94E-05,6.56E-05,83660/7414/7094/858/5829/10298/857/4638/81/4660/3913/2316/55742/7791/4659/2318,16
143,20,WP3888,VEGFA-VEGFR2 signaling pathway,22/136,439/7850,5.57E-06,0.001096335,0.000518438,7414/4860/29109/213/5829/4641/152273/91624/4629/2035/857/2243/5580/2078/3146/3045/389/22899/84952/9209/7001/2697,22
144,20,WP185,Integrin-mediated cell adhesion,10/136,104/7850,1.14E-05,0.002253016,0.000710275,7145/7414/7094/10580/858/5829/10298/857/8874/7791,10
145,20,WP4560,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,4/136,18/7850,0.000218408,0.043026415,0.010173224,7414/5829/7082/4638,4
146,21,WP437,EGF/EGFR signaling pathway,26/258,164/7850,1.63E-11,6.63E-09,5.11E-09,25/29924/5058/673/6197/6774/6195/160/1173/3725/10617/6198/9101/5598/2064/3636/2060/6464/4690/5747/466/1956/1978/6655/4216/5894,26
147,21,WP673,ErbB signaling pathway,15/258,91/7850,2.20E-07,8.93E-05,3.44E-05,25/5058/673/3725/6198/5062/2064/6464/4690/5747/1956/816/1978/6655/5894,15
148,21,WP2037,Prolactin signaling pathway,13/258,76/7850,9.28E-07,0.000376909,9.67E-05,5058/6774/3725/6198/4790/2064/3688/6464/5829/5747/116986/1978/5894,13
149,21,WP3651,Pathways affected in adenoid cystic carcinoma,11/258,66/7850,8.44E-06,0.003427593,0.000489506,63035/23269/55534/2064/6595/58508/5591/29072/8243/221037/5894,11
150,21,WP306,Focal adhesion,20/258,202/7850,9.67E-06,0.003925801,0.000489506,3691/5058/673/394/2317/3725/7408/5062/2064/2909/3688/329/1793/6464/5829/5747/1956/60/7094/5894,20
151,21,WP313,Hepatocyte growth factor receptor signaling,8/258,34/7850,1.06E-05,0.004285496,0.000489506,5058/6774/3725/3688/1793/5829/5747/5894,8
152,21,WP4549,Fragile X syndrome,15/258,123/7850,1.10E-05,0.00444989,0.000489506,5530/673/4204/4763/160/1173/4131/6198/23426/10243/6464/9743/116986/816/5894,15
153,21,WP3303,RAC1/PAK1/p38/MMP2 pathway,11/258,69/7850,1.31E-05,0.005333372,0.000513356,5058/6774/4790/2064/3688/4690/10318/5829/5747/1956/1978,11
154,21,WP3888,VEGFA-VEGFR2 signaling pathway,32/258,439/7850,1.62E-05,0.006570115,0.000562131,25/5530/4673/29924/5058/4301/6774/2317/160/3725/1982/9588/5954/6198/5062/4790/7086/4217/3688/9578/1500/6595/4646/2060/6464/4690/5829/6924/5747/100506658/8754/5894,32
155,21,WP4205,MET in type 1 papillary renal cell carcinoma,10/258,59/7850,1.87E-05,0.00760854,0.000566913,5058/673/6774/3725/5062/6924/5747/6135/6655/5894,10
156,21,WP4659,Gastrin signaling pathway,14/258,114/7850,1.99E-05,0.008098451,0.000566913,5058/6774/3725/100271849/6198/4790/3688/329/6464/5829/5747/1956/1978/5894,14
157,21,WP185,Integrin-mediated cell adhesion,13/258,104/7850,3.27E-05,0.013284145,0.000852431,3691/5058/673/7408/5062/5598/3688/1793/6464/5829/5747/7094/5894,13
158,21,WP3878,ATM signaling in development and disease ,8/258,46/7850,0.000107773,0.043755836,0.002578477,7158/5932/55183/9656/4790/4217/5591/8243,8
159,21,WP4928,MAPK pathway in congenital thyroid cancer,5/258,16/7850,0.000119665,0.048584117,0.002578477,673/3725/6464/6655/5894,5
160,22,WP3888,VEGFA-VEGFR2 signaling pathway,61/388,439/7850,5.96E-14,2.49E-11,2.18E-11,1495/7414/5605/4627/10014/8867/3315/5580/91624/2534/1500/357/4629/213/5606/152273/8650/23215/2889/9734/6416/9475/25/2060/7410/867/5770/7114/5295/5829/9759/5331/29766/51564/7430/4217/10645/1213/1465/7019/11080/6386/9564/1397/5578/5908/3303/10973/4846/2549/29109/1398/2035/1466/9444/5717/8775/4772/274/100506658/4301,61
161,22,WP481,Insulin signaling,30/388,161/7850,1.91E-10,7.98E-08,3.51E-08,5605/5607/5580/5606/5871/2889/6416/867/5770/5295/8491/5286/50488/4215/4217/5211/5588/11127/11184/5578/8773/10580/2549/1398/23678/9448/10211/10603/10938/1326,30
162,22,WP51,Regulation of actin cytoskeleton,23/388,151/7850,1.20E-06,0.000498794,0.000124907,10458/7414/6548/5605/4638/4628/4659/5159/9475/10163/4478/8395/7114/5295/5829/5286/87/7430/60/2258/9564/1398/28964,23
163,22,WP382,MAPK signaling pathway,31/388,249/7850,1.62E-06,0.000676164,0.000124907,5532/2316/5605/5607/3315/5580/5567/408/5566/10000/5606/5871/6416/5159/8491/3925/775/10235/4217/2258/11184/5578/5908/5495/3303/1398/9448/57551/4772/3312/1326,31
164,22,WP3915,Angiopoietin-like protein 8 regulatory pathway,21/388,132/7850,1.70E-06,0.000710945,0.000124907,5605/5607/5606/5871/2889/6416/867/5770/5564/5295/8491/7067/5286/50488/4215/4217/11184/1398/9448/10211/1326,21
165,22,WP289,Myometrial relaxation and contraction pathways,22/388,158/7850,9.23E-06,0.003849356,0.000515608,5580/3710/5567/408/5566/5577/800/801/5576/5331/7534/10636/5588/816/818/60/5578/115/5998/5573/4846/1264,22
166,22,WP2272,Pathogenic Escherichia coli infection,12/388,55/7850,1.14E-05,0.004747176,0.000515608,2534/10382/9475/25/7277/7534/2017/7430/60/5578/3875/100506658,12
167,22,WP185,Integrin-mediated cell adhesion,17/388,104/7850,1.16E-05,0.004819436,0.000515608,7414/7145/5605/5607/7094/2534/10000/5606/2889/9475/7410/5829/9564/5908/10580/7408/1398,17
168,22,WP4560,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,7/388,18/7850,1.35E-05,0.005640169,0.000515608,7414/4638/5829/87/5588/7082/4026,7
169,22,WP536,Calcium regulation in cardiac cells,21/388,152/7850,1.67E-05,0.006949481,0.000515608,5580/3710/5567/408/5566/5577/801/490/5576/309/5331/775/7534/10636/5588/816/818/5578/115/5998/5573,21
170,22,WP2795,Cardiac hypertrophic response,12/388,57/7850,1.68E-05,0.006995849,0.000515608,5605/5607/10014/5606/801/9734/6416/4205/9759/51564/11184/5578,12
171,22,WP437,EGF/EGFR signaling pathway,22/388,164/7850,1.69E-05,0.007043384,0.000515608,5605/5607/8867/5580/25/2060/7410/867/5295/1173/4205/2059/4209/3925/4215/9564/11184/5578/4846/2549/1398/5037,22
172,22,WP306,Focal adhesion,25/388,202/7850,1.88E-05,0.007838404,0.000529668,81/7414/2316/4638/7094/2534/10000/4659/2889/7448/5159/9475/7410/3912/5295/5829/87/4660/60/9564/5578/5908/7408/1398/3055,25
173,22,WP2261,Glioblastoma signaling pathways,14/388,83/7850,4.79E-05,0.019955252,0.001252128,5605/5607/5580/10000/5606/6416/5159/867/5295/5286/5588/5578/2549/5925,14
174,22,WP3965,Lipid metabolism pathway,8/388,29/7850,5.69E-05,0.023709677,0.001388526,5567/5566/5577/10000/5576/5564/5346/5573,8
175,22,WP35,G protein signaling pathways,15/388,97/7850,7.35E-05,0.030641263,0.001682311,6548/5580/5567/5566/5577/801/5576/5331/9590/5588/5578/11214/115/5573/11216,15
176,22,WP366,TGF-beta signaling pathway,18/388,133/7850,8.79E-05,0.036646883,0.001893685,1601/5605/6711/9839/6497/5606/6416/7041/10413/5576/5295/4205/6498/9564/11184/10987/9972/55802,18
177,22,WP2038,Microtubule cytoskeleton regulation,10/388,49/7850,0.000112555,0.04693552,0.002290597,90102/5566/1808/25/3925/4139/5578/57551/4131/5786,10
178,23,WP411,mRNA processing,26/338,133/7850,5.33E-11,2.04E-08,1.86E-08,22803/10181/27316/23451/6429/8449/3183/10291/8899/10946/3187/3188/5496/4670/3184/6430/10772/10914/57396/3192/10250/6627/3181/1198/1653/6431,26
179,23,WP3651,Pathways affected in adenoid cystic carcinoma,15/338,66/7850,8.64E-08,3.30E-05,1.51E-05,23269/29072/58508/51742/221037/10847/63035/5591/5605/546/64324/84159/9874/472/5894,15
180,23,WP3878,ATM signaling in development and disease ,12/338,46/7850,3.47E-07,0.000132371,4.02E-05,3150/7158/64421/55183/10155/5591/10524/545/3930/9656/7249/472,12
181,23,WP2369,Histone modifications,13/338,70/7850,7.12E-06,0.00272142,0.00062055,7799/9757/2145/29072/58508/10919/6418/64324/84444/83852/55209/8085/4297,13
182,23,WP2916,Interactome of polycomb repressive complex 2 (PRC2) ,6/338,17/7850,5.04E-05,0.01925147,0.003511842,9967/9774/23087/2145/5928/23064,6
183,23,WP3959,DNA IR-double strand breaks and cellular response via ATM,10/338,55/7850,9.93E-05,0.037940448,0.005767561,7158/64421/55183/9126/10155/5591/10524/545/9656/472,10
184,24,WP411,mRNA processing,17/217,133/7850,1.24E-07,4.16E-05,3.88E-05,11129/6434/6625/9129/3178/3182/5725/6421/5094/11218/10250/5430/10236/84991/24148/22803/55660,17
185,24,WP4016,DNA IR-damage and cellular response via ATR,11/217,83/7850,1.57E-05,0.005261726,0.002455196,6601/9656/4171/9400/4361/7158/7486/995/983/5932/5591,11
186,24,WP2446,Retinoblastoma gene in cancer,11/217,88/7850,2.76E-05,0.009242297,0.002471337,9133/54443/5925/2956/24137/983/4172/5591/25942/4173/7029,11
187,24,WP3878,ATM signaling in development and disease ,8/217,46/7850,3.16E-05,0.010592632,0.002471337,9656/4361/7158/55183/4790/983/5932/5591,8
188,25,WP411,mRNA processing,24/347,133/7850,2.85E-09,1.05E-06,9.34E-07,23451/8449/5430/10236/11129/27316/6733/1478/3187/3181/10914/8899/10250/8175/10291/10992/1198/57794/22803/6434/3183/6426/8683/6433,24
189,25,WP2446,Retinoblastoma gene in cancer,16/347,88/7850,1.19E-06,0.00043878,0.000195263,4863/2956/5931/5426/10714/9126/24137/7029/5925/6118/4998/1786/5894/8030/4175/6241,16
190,25,WP5049,Glycolysis in senescence,6/347,Nov-50,2.74E-06,0.001009349,0.00029945,5315/5925/5230/2597/2023/3939,6
191,25,WP4629,Aerobic glycolysis,6/347,Dec-50,5.27E-06,0.001943744,0.000432498,5315/5230/2597/2023/226/3939,6
192,25,WP2369,Histone modifications,12/347,70/7850,4.82E-05,0.017790985,0.003166902,84444/7799/29072/9739/83852/8085/58508/9757/55870/64324/84193/4297,12
193,25,WP3651,Pathways affected in adenoid cystic carcinoma,11/347,66/7850,0.000129558,0.047806876,0.007091592,29072/672/10847/546/5605/58508/64324/5894/2033/1387/55914,11
194,26,WP437,EGF/EGFR signaling pathway,21/229,164/7850,9.67E-09,3.65E-06,1.53E-06,5580/1432/2549/3727/58513/5781/5335/10928/9846/5594/857/6774/6776/3725/9185/3925/9712/5579/1399/5782/4734,21
195,26,WP3888,VEGFA-VEGFR2 signaling pathway,36/229,439/7850,1.21E-08,4.54E-06,1.53E-06,2243/5580/2035/152273/1432/2549/10818/10973/5781/9898/5335/5581/100506658/5595/5594/857/6774/1500/5829/1213/91624/23215/4629/7414/4301/5062/3725/3315/29109/3164/5579/84335/84952/653361/2317/3045,36
196,26,WP4560,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,8/229,18/7850,1.58E-08,5.96E-06,1.53E-06,4638/5335/5595/5594/5829/7414/3725/87,8
197,26,WP304,Kit receptor signaling pathway,12/229,60/7850,1.16E-07,4.36E-05,8.39E-06,1432/5781/5335/9846/5595/5594/6774/6776/6909/5579/4137/1399,12
198,26,WP49,IL-2 signaling pathway,10/229,42/7850,2.38E-07,8.97E-05,1.38E-05,5781/9846/5595/5594/6774/6776/3725/6199/4137/1399,10
199,26,WP1528,Physiological and pathological hypertrophy of the heart,8/229,25/7850,3.27E-07,0.000123312,1.55E-05,1432/5581/5594/6774/3725/3977/817/5579,8
200,26,WP306,Focal adhesion,21/229,202/7850,3.73E-07,0.000140543,1.55E-05,2316/4638/2318/5595/5594/857/5829/54776/7408/7414/5062/3725/7094/7448/7791/87/5579/103910/1399/4659/2317,21
201,26,WP2374,Oncostatin M signaling pathway,11/229,66/7850,2.67E-06,0.001008399,9.71E-05,5580/1432/3727/5781/5581/5595/5594/6774/5829/3977/5579,11
202,26,WP313,Hepatocyte growth factor receptor signaling,8/229,34/7850,4.37E-06,0.001649238,0.000141216,2549/5781/5595/5594/6774/5829/3725/1399,8
203,26,WP4205,MET in type 1 papillary renal cell carcinoma,10/229,59/7850,6.58E-06,0.00247887,0.000191028,2549/5781/5335/5546/5595/5594/6774/5062/3725/1399,10
204,26,WP673,ErbB signaling pathway,12/229,91/7850,1.17E-05,0.004415324,0.000309324,2549/5335/5595/5594/6776/5062/3725/817/6199/5579/1399/2065,12
205,26,WP127,IL-5 signaling pathway,8/229,40/7850,1.59E-05,0.006005371,0.000383156,5781/5595/5594/6774/6776/3725/6199/4137,8
206,26,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,15/229,144/7850,1.80E-05,0.006774551,0.000383156,4082/5580/1432/10818/5781/5335/8844/5595/5594/6774/6776/3725/4137/653361/324,15
207,26,WP2324,AGE/RAGE pathway,10/229,66/7850,1.85E-05,0.006960809,0.000383156,5580/4478/1432/5595/5594/6774/6776/3725/5579/653361,10
208,26,WP4659,Gastrin signaling pathway,13/229,114/7850,2.51E-05,0.009463657,0.000468729,5580/1432/5781/5335/960/5581/1113/5595/5594/6774/5829/3725/302,13
209,26,WP395,IL-4 signaling pathway,9/229,55/7850,2.58E-05,0.0097319,0.000468729,2316/1432/5781/9846/5595/5594/6774/6776/4783,9
210,26,WP2572,Primary focal segmental glomerulosclerosis (FSGS),10/229,74/7850,5.13E-05,0.019324871,0.000876016,1028/5335/7431/11346/23607/7414/7225/7094/7448/50485,10
211,26,WP69,T-cell receptor (TCR) signaling pathway,11/229,91/7850,6.20E-05,0.023392273,0.000989636,5580/1432/5781/5335/7431/9846/5595/5594/3725/28988/1399,11
212,26,WP2037,Prolactin signaling pathway,10/229,76/7850,6.47E-05,0.024399724,0.000989636,2316/1432/5781/9846/5595/5594/6774/5829/6776/3725,10
213,26,WP286,IL-3 signaling pathway,8/229,49/7850,7.45E-05,0.028082125,0.001082042,5781/9846/5595/5594/6774/6776/3725/1399,8
214,27,WP437,EGF/EGFR signaling pathway,36/433,164/7850,4.08E-13,1.77E-10,1.43E-10,29924/2308/9712/50807/4209/5605/5782/4303/3727/3925/2185/9138/2353/3635/5894/6774/4846/6776/2002/6197/3985/2059/58513/2549/867/1398/6198/9610/2354/4215/6654/5287/6714/5747/8826/5578,36
215,27,WP3888,VEGFA-VEGFR2 signaling pathway,62/433,439/7850,2.68E-12,1.16E-09,4.70E-10,4301/29924/8650/2243/274/2308/10645/7414/9444/1495/29109/2035/2876/5605/2113/5581/4217/4303/10525/9588/357/2185/4688/5894/5606/1499/6774/1827/23196/4846/6595/226/1500/2002/6461/7430/5970/1386/6624/5226/2549/867/1398/6198/9578/9209/84952/213/3164/2889/653361/5587/23476/11124/6714/5829/5747/100506658/8826/2597/5578/2317,62
216,27,WP304,Kit receptor signaling pathway,18/433,60/7850,1.70E-09,7.36E-07,1.98E-07,2033/5605/2353/3635/5894/6774/695/6776/4137/6197/867/1398/6198/572/6654/6714/2886/5578,18
217,27,WP4659,Gastrin signaling pathway,24/433,114/7850,9.09E-09,3.95E-06,7.97E-07,2308/7082/4209/5581/5583/2353/5894/1499/6774/5588/2002/5970/6548/1386/1398/6198/4296/572/6654/5587/6714/5829/5747/5578,24
218,27,WP313,Hepatocyte growth factor receptor signaling,13/433,34/7850,1.17E-08,5.09E-06,8.22E-07,5605/2185/2353/5894/6774/2002/2549/1398/2889/6654/6714/5829/5747,13
219,27,WP395,IL-4 signaling pathway,15/433,55/7850,1.62E-07,7.03E-05,8.52E-06,2033/8660/2316/2353/3635/6774/6776/2002/5970/1386/867/6198/2242/572/6654,15
220,27,WP481,Insulin signaling,27/433,161/7850,1.70E-07,7.39E-05,8.52E-06,5603/5871/2308/8660/8773/5605/4217/5583/2353/5894/5606/5588/2002/6236/6197/2549/867/1398/6198/4296/7248/4215/2889/6654/30846/5578/8986,27
221,27,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,25/433,144/7850,2.48E-07,0.000107694,1.09E-05,8660/6868/5605/4082/2185/1739/2353/4688/5894/1499/6774/25970/6776/2002/5970/4137/6197/6792/1457/10018/4776/6198/572/653361/6714,25
222,27,WP4205,MET in type 1 papillary renal cell carcinoma,14/433,59/7850,2.64E-06,0.001146466,0.000102884,5605/2113/5894/6774/2549/867/1398/572/2889/6654/7030/6714/5747/10298,14
223,27,WP23,B cell receptor signaling pathway,18/433,98/7850,5.36E-06,0.00232802,0.000188026,2308/4209/2969/5605/2113/3635/5894/695/2002/5970/1386/604/2549/867/1398/2889/6654/3059,18
224,27,WP673,ErbB signaling pathway,17/433,91/7850,7.72E-06,0.003350374,0.000245998,2308/5605/5894/6776/2002/10018/2549/867/1398/6198/572/6654/6714/5747/5578/10298/27,17
225,27,WP2038,Microtubule cytoskeleton regulation,12/433,49/7850,9.72E-06,0.00421672,0.000283808,57551/90102/7204/4131/3925/6774/6249/4137/5786/6714/5578/4139,12
226,27,WP2034,Leptin signaling pathway,15/433,76/7850,1.33E-05,0.005753829,0.00033194,2308/5605/5894/6774/5140/25970/4846/2002/5970/6198/8648/572/6654/6714/5747,15
227,27,WP2037,Prolactin signaling pathway,15/433,76/7850,1.33E-05,0.005753829,0.00033194,8660/2316/5605/2353/5894/6774/6776/2002/5970/867/6198/6654/6714/5829/5747,15
228,27,WP3303,RAC1/PAK1/p38/MMP2 pathway,14/433,69/7850,1.85E-05,0.008020535,0.00043186,5603/2308/3925/1499/6774/6776/5970/1398/572/6654/6714/2886/5829/5747,14
229,27,WP51,Regulation of actin cytoskeleton,22/433,151/7850,2.48E-05,0.010769555,0.00053919,4638/7414/8874/2934/28964/5605/10458/54434/2909/9138/8396/5894/7430/6548/1398/6654/5287/5829/5747/87/8826/10298,22
230,27,WP3879,"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression",7/433,18/7850,2.77E-05,0.01201665,0.00053919,5605/4217/5894/5606/4296/7248/2872,7
231,27,WP4560,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,7/433,18/7850,2.77E-05,0.01201665,0.00053919,4638/7414/7082/5588/5829/5747/87,7
232,27,WP366,TGF-beta signaling pathway,20/433,133/7850,3.64E-05,0.015808112,0.000671981,3691/2033/6711/5371/5576/5605/2113/150094/3727/2353/5894/5606/25942/1386/3985/1601/2354/6654/6714/5747,20
233,27,WP127,IL-5 signaling pathway,10/433,40/7850,4.46E-05,0.019365676,0.000782048,5605/2353/5894/6774/695/6776/2002/4137/6198/6654,10
234,27,WP185,Integrin-mediated cell adhesion,17/433,104/7850,4.75E-05,0.020614207,0.000792827,3691/7094/7414/8874/5605/7145/5894/5606/826/1398/823/2889/6654/6714/5829/5747/10298,17
235,27,WP2374,Oncostatin M signaling pathway,13/433,66/7850,5.10E-05,0.022148031,0.000813099,5605/5581/5583/3727/2185/2353/5894/6774/5970/6654/6714/5829/5578,13
236,27,WP49,IL-2 signaling pathway,10/433,42/7850,7.01E-05,0.030434857,0.001068746,5605/2185/2353/5894/6774/6776/4137/867/6198/6654,10
237,27,WP382,MAPK signaling pathway,29/433,249/7850,0.000100137,0.043459559,0.001462531,5603/5871/57551/2318/2316/5605/4217/3727/3925/2353/5894/5606/2002/5971/5970/4137/1386/6197/115727/1398/4296/80824/2872/3164/4791/6654/5578/2317/8986,29
238,28,WP306,Focal adhesion,24/199,202/7850,2.05E-10,6.14E-08,5.28E-08,7410/7094/10451/858/87/2317/4638/5578/7414/7791/10298/2268/81/2316/10398/5747/55742/1398/5829/857/3611/2534/2318/10000,24
239,28,WP185,Integrin-mediated cell adhesion,16/199,104/7850,5.95E-09,1.78E-06,7.67E-07,7410/7145/7094/10451/858/10580/7414/7791/10298/5747/1398/5829/857/3611/2534/10000,16
240,28,WP3888,VEGFA-VEGFR2 signaling pathway,31/199,439/7850,1.60E-07,4.80E-05,1.38E-05,7410/4629/84952/5580/91624/2317/7430/5590/5581/5578/274/7414/2697/2035/26058/22899/5592/301/660/2078/357/152273/2549/5747/2243/1398/5829/3045/857/4641/2534,31
241,28,WP2572,Primary focal segmental glomerulosclerosis (FSGS),12/199,74/7850,2.80E-07,8.39E-05,1.80E-05,11346/7094/7431/3987/7402/5420/7414/81/5747/55742/3611/2534,12
242,28,WP4560,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,6/199,18/7850,3.54E-06,0.001063185,0.000182793,7082/87/4638/7414/5747/5829,6
243,28,WP4659,Gastrin signaling pathway,12/199,114/7850,2.90E-05,0.008689295,0.001244957,7082/5580/302/5581/5578/408/5747/1398/5829/5583/6925/2534,12
244,28,WP51,Regulation of actin cytoskeleton,13/199,151/7850,0.000112103,0.033630829,0.004130102,4628/8045/87/7430/4638/7414/10298/28964/9459/5747/1398/5829/4478,13
245,28,WP35,G protein signaling pathways,10/199,97/7850,0.000161484,0.048445069,0.00520572,9590/5580/5590/5581/5578/5137/801/5143/5583/10142,10
246,29,WP437,EGF/EGFR signaling pathway,33/465,164/7850,3.30E-10,1.44E-07,1.18E-07,2064/5868/8202/8867/4605/1072/3635/29924/6311/4208/5782/9138/2060/868/30011/5747/6197/673/4214/5337/3985/4209/3925/25/2887/1173/8440/58513/10746/6714/5781/5579/5598,33
247,29,WP3888,VEGFA-VEGFR2 signaling pathway,56/465,439/7850,2.50E-08,1.09E-05,4.46E-06,2597/71/84335/1981/54505/5868/10645/8867/55854/8569/1072/4301/5777/2746/6181/29924/54205/1500/2309/23196/25865/26058/4208/2060/5226/22820/811/2317/5230/5747/5034/3998/1495/9578/9444/8667/115098/3315/4627/10628/23476/2314/25/1499/2887/56905/6714/5216/4217/5781/2624/11124/1192/5579/357/3303,56
248,29,WP366,TGF-beta signaling pathway,24/465,133/7850,7.60E-07,0.000330398,6.78E-05,9972/22938/64219/5934/23327/5371/8021/4609/3691/4208/5933/5747/4233/3985/2033/25942/10413/79753/10454/6714/8312/983/9133/57559,24
249,29,WP411,mRNA processing,24/465,133/7850,7.60E-07,0.000330398,6.78E-05,6432/1198/10147/5094/6421/3181/10946/1478/10421/6430/6434/6433/8899/23451/10250/23283/6429/22803/5430/4841/10992/57794/9128/24148,24
250,29,WP3651,Pathways affected in adenoid cystic carcinoma,15/465,66/7850,5.04E-06,0.002191992,0.00035963,58508/9611/2064/10847/23269/4609/2309/8289/29072/51742/6605/7994/2033/55914/221037,15
251,29,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,23/465,144/7850,1.10E-05,0.004803583,0.000656751,814/3667/8878/1072/8660/2309/4776/4208/8536/6197/3551/4214/4082/1499/324/8440/10746/1808/6714/1739/5781/10603/5598,23
252,29,WP4018,Clear cell renal cell carcinoma pathways,16/465,87/7850,4.22E-05,0.018347472,0.002150132,2597/26227/84335/8314/7248/8878/2194/8536/4190/5230/29072/57521/3101/2033/2023/2887,16
253,29,WP61,Notch signaling pathway (Netpath),13/465,63/7850,6.39E-05,0.027783438,0.002848937,9611/22938/7088/4609/9794/9253/3932/3714/23013/4853/2033/84441/6714,13
254,29,WP138,Androgen receptor signaling pathway,16/465,91/7850,7.45E-05,0.032388834,0.002881291,9611/8202/2316/811/5747/10524/6605/3985/10499/2033/25942/1499/24149/5925/6714/56924,16
